order_id,on_time_delivery,on_time_delivery_normalized,days_sales_outstanding,days_sales_outstanding_normalized,order_accuracy,order_accuracy_normalized,invoice_accuracy,invoice_accuracy_normalized,avg_cost_delivery,avg_cost_delivery_normalized
order_126,77.47,0.7747,51,0.5667,77.69,0.7769,90.81,0.9081,41.39,0.4139
order_1260,60.91,0.6091,46,0.5111,78.67,0.7867,80.32,0.8032,42.04,0.4204
order_1261,89.58,0.8958,29,0.3222,93.48,0.9348,89.45,0.8945,20.84,0.2084
order_1262,79.71,0.7971,51,0.5667,78.76,0.7876,60.43,0.6043,40.67,0.4067
order_1263,84.57,0.8457,37,0.4111,75.06,0.7506,70.12,0.7012,33.29,0.3329
order_1264,80.19,0.8019,40,0.4444,78.94,0.7894,62.9,0.629,35.38,0.3538
order_1265,92.17,0.9217,31,0.3444,98.32,0.9832,90.8,0.908,22.45,0.2245
order_1266,92.8,0.928,28,0.3111,89.6,0.896,87.42,0.8742,24.53,0.2453
order_1267,70.59,0.7059,56,0.6222,72.05,0.7205,71.48,0.7148,47.25,0.4725
order_1268,96.02,0.9602,37,0.4111,97.02,0.9702,95.07,0.9507,23.19,0.2319
order_1269,81.23,0.8123,38,0.4222,70.27,0.7027,69.97,0.6997,36.98,0.3698
order_127,88.64,0.8864,34,0.3778,96.39,0.9639,92.27,0.9227,24.96,0.2496
order_1270,86.57,0.8657,32,0.3556,92.21,0.9221,86.4,0.864,21.83,0.2183
order_1271,74.03,0.7403,50,0.5556,80.42,0.8042,61.81,0.6181,49.12,0.4912
order_1272,84.77,0.8477,44,0.4889,74.41,0.7441,62.32,0.6232,35.77,0.3577
order_1273,83.71,0.8371,52,0.5778,86.8,0.868,66.09,0.6609,31.28,0.3128
order_1274,90.42,0.9042,28,0.3111,94.81,0.9481,91.56,0.9156,21.07,0.2107
order_1275,85.22,0.8522,33,0.3667,92.67,0.9267,88.49,0.8849,16.26,0.1626
order_1276,89.92,0.8992,36,0.4,98.15,0.9815,90.63,0.9063,20.8,0.208
order_1277,78.75,0.7875,35,0.3889,78.11,0.7811,76.13,0.7613,45.36,0.4536
order_1278,89.7,0.897,31,0.3444,91.81,0.9181,89.52,0.8952,21.55,0.2155
order_1279,91.1,0.911,34,0.3778,91.99,0.9199,96.48,0.9648,21.46,0.2146
order_128,89.94,0.8994,30,0.3333,87.94,0.8794,94.65,0.9465,23.47,0.2347
order_1280,89.16,0.8916,32,0.3556,95.29,0.9529,87.31,0.8731,20.94,0.2094
order_1281,92.38,0.9238,29,0.3222,94.73,0.9473,87.93,0.8793,22.93,0.2293
order_1282,89.89,0.8989,28,0.3111,96.91,0.9691,89.8,0.898,20.38,0.2038
order_1283,76.6,0.766,48,0.5333,68.89,0.6889,70.49,0.7049,40.57,0.4057
order_1284,80.54,0.8054,42,0.4667,73.43,0.7343,63.38,0.6338,38.52,0.3852
order_1285,86.78,0.8678,25,0.2778,95.09,0.9509,94.71,0.9471,17.27,0.1727
order_1286,86.97,0.8697,34,0.3778,99.14,0.9914,92.06,0.9206,20.54,0.2054
order_1287,73.54,0.7354,49,0.5444,71.48,0.7148,63.61,0.6361,35.1,0.351
order_1288,87.14,0.8714,32,0.3556,98.06,0.9806,92.97,0.9297,21.5,0.215
order_1289,72.67,0.7267,32,0.3556,82.18,0.8218,69.38,0.6938,36.92,0.3692
order_129,99.58,0.9958,33,0.3667,92.12,0.9212,90.72,0.9072,24.3,0.243
order_1290,75.91,0.7591,32,0.3556,82.43,0.8243,64.65,0.6465,49.24,0.4924
order_1291,93.24,0.9324,31,0.3444,97.2,0.972,92.2,0.922,23.71,0.2371
order_1292,91.45,0.9145,30,0.3333,92.39,0.9239,95.09,0.9509,21.33,0.2133
order_1293,88.79,0.8879,30,0.3333,95.06,0.9506,98.19,0.9819,19.86,0.1986
order_1294,75.19,0.7519,49,0.5444,75.44,0.7544,73.62,0.7362,31.63,0.3163
order_1295,91.28,0.9128,32,0.3556,96.46,0.9646,95.56,0.9556,27.18,0.2718
order_1296,91.74,0.9174,33,0.3667,94.49,0.9449,90.94,0.9094,22.68,0.2268
order_1297,72.64,0.7264,42,0.4667,85.22,0.8522,61.95,0.6195,44.84,0.4484
order_1298,93.95,0.9395,32,0.3556,88.7,0.887,90.18,0.9018,24.59,0.2459
order_1299,74.82,0.7482,35,0.3889,72.47,0.7247,76.72,0.7672,41.28,0.4128
order_13,89.28,0.8928,31,0.3444,93.02,0.9302,89.23,0.8923,25.23,0.2523
order_130,89.03,0.8903,35,0.3889,97.8,0.978,94.99,0.9499,21.14,0.2114
order_1300,91.21,0.9121,32,0.3556,91.74,0.9174,92.97,0.9297,19.64,0.1964
order_1301,84.5,0.845,38,0.4222,77.41,0.7741,72.27,0.7227,36.45,0.3645
order_1302,79.69,0.7969,38,0.4222,82.1,0.821,59.23,0.5923,38.76,0.3876
order_1303,95.82,0.9582,29,0.3222,92.31,0.9231,93.54,0.9354,22.36,0.2236
order_1304,91.05,0.9105,33,0.3667,95.59,0.9559,95.33,0.9533,22.82,0.2282
order_1305,73.07,0.7307,45,0.5,89.3,0.893,68.94,0.6894,32.15,0.3215
order_1306,93.32,0.9332,32,0.3556,88.57,0.8857,94.54,0.9454,20.93,0.2093
order_1307,74.28,0.7428,43,0.4778,77.33,0.7733,75.68,0.7568,35.39,0.3539
order_1308,91.54,0.9154,31,0.3444,95.85,0.9585,93.85,0.9385,20.13,0.2013
order_1309,83.69,0.8369,38,0.4222,81.66,0.8166,72.94,0.7294,49.03,0.4903
order_131,73.21,0.7321,39,0.4333,75.86,0.7586,67.57,0.6757,42.8,0.428
order_1310,62.07,0.6207,35,0.3889,68.53,0.6853,77.6,0.776,48.26,0.4826
order_1311,74.16,0.7416,40,0.4444,76.49,0.7649,79.3,0.793,32.44,0.3244
order_1312,76.91,0.7691,47,0.5222,79.51,0.7951,71.52,0.7152,44.01,0.4401
order_1313,81.89,0.8189,34,0.3778,92.36,0.9236,86.51,0.8651,23.02,0.2302
order_1314,94.12,0.9412,32,0.3556,96.38,0.9638,96.84,0.9684,24.63,0.2463
order_1315,94.92,0.9492,34,0.3778,94.19,0.9419,87.19,0.8719,21.51,0.2151
order_1316,87.47,0.8747,37,0.4111,93.56,0.9356,92.37,0.9237,23.1,0.231
order_1317,90.13,0.9013,36,0.4,92.44,0.9244,92.58,0.9258,20.52,0.2052
order_1318,86.04,0.8604,30,0.3333,93.91,0.9391,90.71,0.9071,20.62,0.2062
order_1319,85.78,0.8578,32,0.3556,90.24,0.9024,94.28,0.9428,22.16,0.2216
order_132,85.63,0.8563,31,0.3444,92.12,0.9212,92.96,0.9296,24.68,0.2468
order_1320,60.0,0.6,42,0.4667,74.88,0.7488,75.37,0.7537,39.28,0.3928
order_1321,87.74,0.8774,31,0.3444,92.01,0.9201,95.23,0.9523,22.04,0.2204
order_1322,90.21,0.9021,41,0.4556,71.04,0.7104,57.89,0.5789,27.18,0.2718
order_1323,62.33,0.6233,43,0.4778,79.56,0.7956,57.35,0.5735,43.37,0.4337
order_1324,88.55,0.8855,32,0.3556,98.03,0.9803,94.69,0.9469,21.46,0.2146
order_1325,87.33,0.8733,27,0.3,92.2,0.922,91.37,0.9137,20.03,0.2003
order_1326,89.61,0.8961,32,0.3556,93.44,0.9344,90.05,0.9005,22.34,0.2234
order_1327,91.33,0.9133,29,0.3222,97.53,0.9753,91.7,0.917,22.04,0.2204
order_1328,92.12,0.9212,33,0.3667,96.38,0.9638,92.86,0.9286,20.78,0.2078
order_1329,91.08,0.9108,29,0.3222,94.27,0.9427,91.9,0.919,21.58,0.2158
order_133,89.61,0.8961,27,0.3,92.63,0.9263,92.28,0.9228,22.32,0.2232
order_1330,66.78,0.6678,49,0.5444,69.94,0.6994,77.76,0.7776,40.56,0.4056
order_1331,88.06,0.8806,36,0.4,91.02,0.9102,94.76,0.9476,24.0,0.24
order_1332,69.64,0.6964,49,0.5444,74.25,0.7425,72.31,0.7231,39.56,0.3956
order_1333,89.6,0.896,34,0.3778,95.98,0.9598,86.75,0.8675,24.61,0.2461
order_1334,85.01,0.8501,35,0.3889,96.82,0.9682,88.73,0.8873,21.18,0.2118
order_1335,86.68,0.8668,31,0.3444,93.23,0.9323,94.34,0.9434,24.62,0.2462
order_1336,86.17,0.8617,38,0.4222,74.54,0.7454,56.53,0.5653,33.16,0.3316
order_1337,82.72,0.8272,51,0.5667,67.36,0.6736,65.26,0.6526,37.84,0.3784
order_1338,77.24,0.7724,36,0.4,78.97,0.7897,66.21,0.6621,37.91,0.3791
order_1339,91.64,0.9164,32,0.3556,92.91,0.9291,91.67,0.9167,21.82,0.2182
order_134,88.89,0.8889,31,0.3444,98.0,0.98,93.68,0.9368,21.41,0.2141
order_1340,92.09,0.9209,31,0.3444,96.93,0.9693,93.11,0.9311,21.79,0.2179
order_1341,91.34,0.9134,28,0.3111,91.18,0.9118,88.42,0.8842,22.29,0.2229
order_1342,88.86,0.8886,54,0.6,80.47,0.8047,74.01,0.7401,27.19,0.2719
order_1343,88.37,0.8837,30,0.3333,92.45,0.9245,91.5,0.915,21.06,0.2106
order_1344,84.06,0.8406,34,0.3778,91.32,0.9132,92.72,0.9272,26.15,0.2615
order_1345,87.24,0.8724,26,0.2889,93.28,0.9328,95.3,0.953,25.92,0.2592
order_1346,65.16,0.6516,44,0.4889,72.74,0.7274,69.15,0.6915,53.87,0.5387
order_1347,85.49,0.8549,33,0.3667,95.17,0.9517,95.26,0.9526,22.2,0.222
order_1348,90.92,0.9092,31,0.3444,94.67,0.9467,90.97,0.9097,23.24,0.2324
order_1349,88.89,0.8889,33,0.3667,93.93,0.9393,95.38,0.9538,21.9,0.219
order_135,84.68,0.8468,35,0.3889,91.74,0.9174,90.04,0.9004,20.81,0.2081
order_1350,86.0,0.86,28,0.3111,97.96,0.9796,78.45,0.7845,39.34,0.3934
order_1351,74.56,0.7456,43,0.4778,79.65,0.7965,75.16,0.7516,41.33,0.4133
order_1352,75.72,0.7572,40,0.4444,74.94,0.7494,68.44,0.6844,44.8,0.448
order_1353,91.78,0.9178,25,0.2778,95.64,0.9564,92.58,0.9258,21.96,0.2196
order_1354,88.83,0.8883,35,0.3889,96.37,0.9637,89.68,0.8968,22.81,0.2281
order_1355,87.09,0.8709,29,0.3222,92.43,0.9243,94.59,0.9459,23.91,0.2391
order_1356,91.54,0.9154,34,0.3778,95.29,0.9529,90.08,0.9008,22.86,0.2286
order_1357,92.4,0.924,34,0.3778,96.97,0.9697,94.12,0.9412,22.7,0.227
order_1358,93.21,0.9321,32,0.3556,91.8,0.918,91.51,0.9151,20.51,0.2051
order_1359,87.97,0.8797,32,0.3556,92.02,0.9202,91.08,0.9108,18.21,0.1821
order_136,90.64,0.9064,32,0.3556,91.96,0.9196,93.98,0.9398,23.88,0.2388
order_1360,62.14,0.6214,36,0.4,70.62,0.7062,62.48,0.6248,42.98,0.4298
order_1361,89.42,0.8942,31,0.3444,88.99,0.8899,93.91,0.9391,19.52,0.1952
order_1362,90.18,0.9018,33,0.3667,97.4,0.974,88.07,0.8807,15.96,0.1596
order_1363,90.55,0.9055,37,0.4111,97.1,0.971,92.63,0.9263,21.02,0.2102
order_1364,92.42,0.9242,30,0.3333,95.19,0.9519,93.52,0.9352,24.12,0.2412
order_1365,98.28,0.9828,33,0.3667,92.73,0.9273,91.92,0.9192,18.46,0.1846
order_1366,69.44,0.6944,39,0.4333,72.33,0.7233,71.22,0.7122,33.07,0.3307
order_1367,83.97,0.8397,41,0.4556,75.93,0.7593,67.38,0.6738,38.93,0.3893
order_1368,92.48,0.9248,30,0.3333,92.35,0.9235,91.09,0.9109,19.31,0.1931
order_1369,87.54,0.8754,31,0.3444,96.19,0.9619,92.79,0.9279,22.39,0.2239
order_137,92.55,0.9255,32,0.3556,94.98,0.9498,91.69,0.9169,22.53,0.2253
order_1370,88.25,0.8825,26,0.2889,93.66,0.9366,96.27,0.9627,23.85,0.2385
order_1371,92.9,0.929,35,0.3889,94.22,0.9422,92.59,0.9259,20.76,0.2076
order_1372,72.47,0.7247,45,0.5,84.43,0.8443,68.88,0.6888,35.3,0.353
order_1373,90.0,0.9,34,0.3778,90.39,0.9039,85.11,0.8511,20.9,0.209
order_1374,86.34,0.8634,31,0.3444,93.63,0.9363,90.64,0.9064,24.9,0.249
order_1375,90.98,0.9098,33,0.3667,95.56,0.9556,88.58,0.8858,24.08,0.2408
order_1376,89.77,0.8977,34,0.3778,91.32,0.9132,87.34,0.8734,23.64,0.2364
order_1377,91.13,0.9113,30,0.3333,91.83,0.9183,95.38,0.9538,19.62,0.1962
order_1378,88.14,0.8814,36,0.4,80.47,0.8047,67.37,0.6737,41.62,0.4162
order_1379,88.37,0.8837,32,0.3556,94.1,0.941,88.99,0.8899,23.48,0.2348
order_138,70.89,0.7089,40,0.4444,69.04,0.6904,55.0,0.55,36.85,0.3685
order_1380,97.24,0.9724,34,0.3778,93.95,0.9395,91.21,0.9121,22.04,0.2204
order_1381,79.38,0.7938,34,0.3778,83.8,0.838,75.72,0.7572,42.31,0.4231
order_1382,78.51,0.7851,41,0.4556,80.71,0.8071,74.73,0.7473,35.88,0.3588
order_1383,70.41,0.7041,42,0.4667,86.84,0.8684,60.09,0.6009,29.19,0.2919
order_1384,90.49,0.9049,32,0.3556,94.43,0.9443,92.73,0.9273,21.55,0.2155
order_1385,94.47,0.9447,28,0.3111,91.93,0.9193,91.69,0.9169,18.71,0.1871
order_1386,73.59,0.7359,51,0.5667,76.15,0.7615,71.85,0.7185,30.44,0.3044
order_1387,70.07,0.7007,39,0.4333,73.78,0.7378,80.25,0.8025,41.35,0.4135
order_1388,66.11,0.6611,42,0.4667,79.49,0.7949,79.12,0.7912,47.48,0.4748
order_1389,86.95,0.8695,30,0.3333,90.86,0.9086,91.3,0.913,22.93,0.2293
order_139,92.96,0.9296,32,0.3556,93.2,0.932,92.46,0.9246,20.33,0.2033
order_1390,96.27,0.9627,28,0.3111,94.46,0.9446,98.07,0.9807,22.01,0.2201
order_1391,73.48,0.7348,39,0.4333,74.74,0.7474,80.98,0.8098,24.73,0.2473
order_1392,94.6,0.946,28,0.3111,93.33,0.9333,90.71,0.9071,23.18,0.2318
order_1393,62.22,0.6222,44,0.4889,90.17,0.9017,59.09,0.5909,39.14,0.3914
order_1394,88.01,0.8801,33,0.3667,94.05,0.9405,90.08,0.9008,22.98,0.2298
order_1395,89.43,0.8943,40,0.4444,81.04,0.8104,59.65,0.5965,32.26,0.3226
order_1396,91.42,0.9142,36,0.4,94.89,0.9489,91.06,0.9106,22.0,0.22
order_1397,86.25,0.8625,34,0.3778,96.21,0.9621,90.64,0.9064,21.06,0.2106
order_1398,90.8,0.908,31,0.3444,93.83,0.9383,98.3,0.983,21.51,0.2151
order_1399,88.92,0.8892,30,0.3333,95.86,0.9586,91.46,0.9146,20.7,0.207
order_14,93.96,0.9396,36,0.4,92.5,0.925,86.4,0.864,24.02,0.2402
order_140,69.52,0.6952,46,0.5111,62.21,0.6221,77.14,0.7714,30.73,0.3073
order_1400,92.19,0.9219,32,0.3556,91.62,0.9162,90.78,0.9078,23.37,0.2337
order_1401,90.32,0.9032,33,0.3667,98.94,0.9894,87.31,0.8731,25.23,0.2523
order_1402,75.83,0.7583,36,0.4,66.69,0.6669,68.49,0.6849,43.53,0.4353
order_1403,73.98,0.7398,50,0.5556,65.84,0.6584,69.9,0.699,30.49,0.3049
order_1404,91.09,0.9109,34,0.3778,92.95,0.9295,84.19,0.8419,22.4,0.224
order_1405,78.49,0.7849,43,0.4778,84.65,0.8465,61.43,0.6143,42.08,0.4208
order_1406,84.54,0.8454,30,0.3333,78.24,0.7824,65.97,0.6597,37.51,0.3751
order_1407,91.04,0.9104,31,0.3444,92.31,0.9231,92.1,0.921,19.83,0.1983
order_1408,86.74,0.8674,34,0.3778,91.13,0.9113,94.0,0.94,22.93,0.2293
order_1409,84.82,0.8482,30,0.3333,96.99,0.9699,89.06,0.8906,21.07,0.2107
order_141,91.39,0.9139,34,0.3778,93.37,0.9337,90.21,0.9021,24.84,0.2484
order_1410,95.22,0.9522,34,0.3778,94.21,0.9421,89.58,0.8958,20.34,0.2034
order_1411,91.57,0.9157,33,0.3667,97.5,0.975,93.95,0.9395,18.99,0.1899
order_1412,93.16,0.9316,30,0.3333,93.04,0.9304,92.75,0.9275,25.99,0.2599
order_1413,99.88,0.9988,45,0.5,74.72,0.7472,74.28,0.7428,43.33,0.4333
order_1414,72.43,0.7243,52,0.5778,77.61,0.7761,73.98,0.7398,42.0,0.42
order_1415,91.26,0.9126,34,0.3778,92.46,0.9246,90.33,0.9033,19.8,0.198
order_1416,91.32,0.9132,34,0.3778,95.14,0.9514,97.02,0.9702,21.99,0.2199
order_1417,80.35,0.8035,34,0.3778,73.29,0.7329,75.56,0.7556,43.09,0.4309
order_1418,89.12,0.8912,32,0.3556,90.21,0.9021,90.93,0.9093,23.78,0.2378
order_1419,91.73,0.9173,33,0.3667,94.12,0.9412,92.02,0.9202,20.68,0.2068
order_142,92.1,0.921,33,0.3667,95.23,0.9523,90.42,0.9042,17.69,0.1769
order_1420,93.29,0.9329,31,0.3444,91.84,0.9184,94.08,0.9408,21.22,0.2122
order_1421,83.48,0.8348,45,0.5,80.78,0.8078,59.07,0.5907,45.27,0.4527
order_1422,90.78,0.9078,31,0.3444,94.36,0.9436,86.67,0.8667,22.82,0.2282
order_1423,86.91,0.8691,29,0.3222,90.19,0.9019,95.34,0.9534,20.74,0.2074
order_1424,94.6,0.946,31,0.3444,89.73,0.8973,88.65,0.8865,24.47,0.2447
order_1425,73.75,0.7375,38,0.4222,77.12,0.7712,74.01,0.7401,44.7,0.447
order_1426,94.35,0.9435,31,0.3444,90.68,0.9068,90.76,0.9076,22.52,0.2252
order_1427,67.29,0.6729,35,0.3889,78.41,0.7841,69.61,0.6961,38.2,0.382
order_1428,87.72,0.8772,31,0.3444,91.69,0.9169,94.67,0.9467,24.07,0.2407
order_1429,84.46,0.8446,30,0.3333,90.26,0.9026,90.05,0.9005,21.83,0.2183
order_143,85.65,0.8565,30,0.3333,91.49,0.9149,92.62,0.9262,22.14,0.2214
order_1430,87.83,0.8783,32,0.3556,92.63,0.9263,91.19,0.9119,25.35,0.2535
order_1431,85.72,0.8572,33,0.3667,81.81,0.8181,76.49,0.7649,31.11,0.3111
order_1432,92.46,0.9246,36,0.4,91.19,0.9119,89.25,0.8925,24.04,0.2404
order_1433,90.81,0.9081,33,0.3667,94.85,0.9485,93.17,0.9317,19.35,0.1935
order_1434,93.14,0.9314,35,0.3889,93.43,0.9343,91.87,0.9187,18.94,0.1894
order_1435,91.54,0.9154,33,0.3667,93.84,0.9384,95.37,0.9537,21.33,0.2133
order_1436,79.52,0.7952,35,0.3889,75.84,0.7584,68.61,0.6861,39.35,0.3935
order_1437,72.04,0.7204,40,0.4444,81.78,0.8178,66.51,0.6651,28.36,0.2836
order_1438,95.25,0.9525,35,0.3889,90.77,0.9077,94.07,0.9407,20.99,0.2099
order_1439,90.79,0.9079,33,0.3667,93.41,0.9341,89.65,0.8965,20.62,0.2062
order_144,87.25,0.8725,30,0.3333,93.83,0.9383,89.85,0.8985,23.36,0.2336
order_1440,94.46,0.9446,31,0.3444,94.6,0.946,93.5,0.935,22.94,0.2294
order_1441,90.23,0.9023,34,0.3778,95.21,0.9521,88.29,0.8829,23.74,0.2374
order_1442,92.66,0.9266,30,0.3333,94.09,0.9409,94.05,0.9405,21.58,0.2158
order_1443,83.58,0.8358,55,0.6111,70.5,0.705,58.95,0.5895,39.82,0.3982
order_1444,92.16,0.9216,31,0.3444,97.63,0.9763,87.98,0.8798,23.39,0.2339
order_1445,70.15,0.7015,51,0.5667,89.95,0.8995,63.87,0.6387,34.7,0.347
order_1446,81.88,0.8188,39,0.4333,75.68,0.7568,70.2,0.702,26.48,0.2648
order_1447,89.96,0.8996,30,0.3333,92.77,0.9277,96.33,0.9633,19.49,0.1949
order_1448,92.44,0.9244,31,0.3444,93.3,0.933,94.37,0.9437,22.68,0.2268
order_1449,91.71,0.9171,34,0.3778,93.17,0.9317,90.16,0.9016,19.83,0.1983
order_145,68.4,0.684,59,0.6556,84.71,0.8471,59.19,0.5919,30.07,0.3007
order_1450,91.45,0.9145,33,0.3667,95.37,0.9537,91.24,0.9124,21.75,0.2175
order_1451,77.62,0.7762,42,0.4667,60.46,0.6046,68.16,0.6816,32.89,0.3289
order_1452,90.53,0.9053,39,0.4333,94.92,0.9492,91.06,0.9106,23.84,0.2384
order_1453,91.45,0.9145,33,0.3667,95.52,0.9552,98.17,0.9817,19.74,0.1974
order_1454,91.42,0.9142,30,0.3333,95.39,0.9539,89.24,0.8924,21.17,0.2117
order_1455,89.11,0.8911,34,0.3778,96.3,0.963,88.26,0.8826,22.11,0.2211
order_1456,87.87,0.8787,29,0.3222,93.46,0.9346,91.07,0.9107,26.85,0.2685
order_1457,91.3,0.913,29,0.3222,92.59,0.9259,95.06,0.9506,26.18,0.2618
order_1458,62.31,0.6231,30,0.3333,89.1,0.891,73.12,0.7312,32.79,0.3279
order_1459,79.28,0.7928,25,0.2778,76.02,0.7602,72.62,0.7262,43.55,0.4355
order_146,86.96,0.8696,32,0.3556,91.69,0.9169,92.77,0.9277,20.21,0.2021
order_1460,88.78,0.8878,30,0.3333,95.63,0.9563,94.58,0.9458,21.53,0.2153
order_1461,90.11,0.9011,28,0.3111,93.25,0.9325,91.85,0.9185,27.24,0.2724
order_1462,66.1,0.661,50,0.5556,82.98,0.8298,72.25,0.7225,48.55,0.4855
order_1463,77.98,0.7798,43,0.4778,75.63,0.7563,79.79,0.7979,44.58,0.4458
order_1464,69.99,0.6999,33,0.3667,74.58,0.7458,63.6,0.636,37.62,0.3762
order_1465,84.9,0.849,38,0.4222,75.7,0.757,70.46,0.7046,43.09,0.4309
order_1466,57.02,0.5702,37,0.4111,77.48,0.7748,79.6,0.796,35.05,0.3505
order_1467,59.99,0.5999,45,0.5,71.55,0.7155,60.48,0.6048,34.25,0.3425
order_1468,89.45,0.8945,30,0.3333,88.49,0.8849,94.69,0.9469,24.55,0.2455
order_1469,91.95,0.9195,29,0.3222,93.5,0.935,91.98,0.9198,23.2,0.232
order_147,92.01,0.9201,30,0.3333,94.2,0.942,93.37,0.9337,24.91,0.2491
order_1470,92.11,0.9211,34,0.3778,94.21,0.9421,96.23,0.9623,22.82,0.2282
order_1471,87.42,0.8742,36,0.4,95.74,0.9574,90.67,0.9067,21.04,0.2104
order_1472,77.37,0.7737,44,0.4889,77.38,0.7738,72.49,0.7249,48.2,0.482
order_1473,93.21,0.9321,32,0.3556,96.35,0.9635,88.9,0.889,22.8,0.228
order_1474,95.43,0.9543,31,0.3444,91.88,0.9188,90.04,0.9004,19.82,0.1982
order_1475,87.65,0.8765,31,0.3444,90.49,0.9049,92.05,0.9205,23.8,0.238
order_1476,87.28,0.8728,36,0.4,95.28,0.9528,95.09,0.9509,20.68,0.2068
order_1477,92.56,0.9256,29,0.3222,96.23,0.9623,92.52,0.9252,23.11,0.2311
order_1478,65.6,0.656,36,0.4,80.18,0.8018,62.41,0.6241,40.78,0.4078
order_1479,85.9,0.859,34,0.3778,90.92,0.9092,93.66,0.9366,23.25,0.2325
order_148,69.43,0.6943,44,0.4889,77.82,0.7782,65.69,0.6569,31.95,0.3195
order_1480,59.3,0.593,43,0.4778,65.05,0.6505,70.76,0.7076,36.42,0.3642
order_1481,92.04,0.9204,31,0.3444,93.18,0.9318,94.2,0.942,22.67,0.2267
order_1482,90.95,0.9095,33,0.3667,90.16,0.9016,94.27,0.9427,23.22,0.2322
order_1483,66.87,0.6687,40,0.4444,75.72,0.7572,68.92,0.6892,40.0,0.4
order_1484,86.45,0.8645,47,0.5222,66.81,0.6681,74.98,0.7498,45.97,0.4597
order_1485,91.16,0.9116,35,0.3889,99.03,0.9903,95.07,0.9507,22.5,0.225
order_1486,83.36,0.8336,42,0.4667,76.17,0.7617,67.19,0.6719,47.38,0.4738
order_1487,87.54,0.8754,36,0.4,95.25,0.9525,87.8,0.878,22.74,0.2274
order_1488,83.7,0.837,34,0.3778,96.21,0.9621,90.22,0.9022,22.25,0.2225
order_1489,90.63,0.9063,38,0.4222,68.59,0.6859,81.85,0.8185,49.78,0.4978
order_149,90.01,0.9001,35,0.3889,97.35,0.9735,89.77,0.8977,21.03,0.2103
order_1490,93.69,0.9369,36,0.4,95.41,0.9541,89.36,0.8936,25.97,0.2597
order_1491,88.41,0.8841,31,0.3444,94.86,0.9486,96.66,0.9666,23.71,0.2371
order_1492,91.24,0.9124,33,0.3667,94.11,0.9411,93.67,0.9367,16.94,0.1694
order_1493,72.63,0.7263,42,0.4667,67.94,0.6794,73.09,0.7309,36.77,0.3677
order_1494,95.27,0.9527,36,0.4,92.84,0.9284,91.55,0.9155,21.85,0.2185
order_1495,88.65,0.8865,32,0.3556,92.1,0.921,88.61,0.8861,23.25,0.2325
order_1496,91.89,0.9189,30,0.3333,96.24,0.9624,90.11,0.9011,22.51,0.2251
order_1497,92.46,0.9246,32,0.3556,95.14,0.9514,90.45,0.9045,21.61,0.2161
order_1498,89.38,0.8938,30,0.3333,93.56,0.9356,87.35,0.8735,21.02,0.2102
order_1499,72.72,0.7272,39,0.4333,74.31,0.7431,69.51,0.6951,40.88,0.4088
order_15,92.62,0.9262,30,0.3333,90.99,0.9099,88.87,0.8887,21.03,0.2103
order_150,88.94,0.8894,30,0.3333,90.76,0.9076,90.63,0.9063,22.36,0.2236
order_1500,91.79,0.9179,31,0.3444,92.97,0.9297,89.22,0.8922,21.94,0.2194
order_1501,87.45,0.8745,33,0.3667,89.54,0.8954,90.92,0.9092,22.6,0.226
order_1502,90.55,0.9055,39,0.4333,94.87,0.9487,88.99,0.8899,21.81,0.2181
order_1503,60.79,0.6079,41,0.4556,70.17,0.7017,77.32,0.7732,34.7,0.347
order_1504,74.07,0.7407,37,0.4111,88.17,0.8817,67.43,0.6743,49.0,0.49
order_1505,81.51,0.8151,44,0.4889,78.58,0.7858,73.15,0.7315,26.43,0.2643
order_1506,72.77,0.7277,46,0.5111,75.66,0.7566,58.76,0.5876,37.69,0.3769
order_1507,95.11,0.9511,35,0.3889,93.84,0.9384,94.85,0.9485,21.27,0.2127
order_1508,84.89,0.8489,30,0.3333,97.91,0.9791,91.18,0.9118,21.51,0.2151
order_1509,89.1,0.891,37,0.4111,98.06,0.9806,98.66,0.9866,21.68,0.2168
order_151,90.89,0.9089,28,0.3111,97.69,0.9769,88.5,0.885,22.43,0.2243
order_1510,86.71,0.8671,31,0.3444,91.91,0.9191,90.18,0.9018,20.92,0.2092
order_1511,88.36,0.8836,34,0.3778,91.24,0.9124,92.66,0.9266,24.44,0.2444
order_1512,88.46,0.8846,30,0.3333,93.42,0.9342,95.54,0.9554,22.39,0.2239
order_1513,70.75,0.7075,44,0.4889,68.28,0.6828,75.45,0.7545,40.45,0.4045
order_1514,89.08,0.8908,30,0.3333,91.78,0.9178,93.6,0.936,24.46,0.2446
order_1515,88.09,0.8809,33,0.3667,88.78,0.8878,90.25,0.9025,21.94,0.2194
order_1516,87.27,0.8727,30,0.3333,92.33,0.9233,92.88,0.9288,21.63,0.2163
order_1517,83.29,0.8329,27,0.3,92.48,0.9248,93.37,0.9337,16.5,0.165
order_1518,71.0,0.71,38,0.4222,85.72,0.8572,66.92,0.6692,40.3,0.403
order_1519,90.42,0.9042,27,0.3,95.92,0.9592,92.65,0.9265,23.02,0.2302
order_152,100.0,1.0,28,0.3111,88.07,0.8807,67.7,0.677,39.72,0.3972
order_1520,74.64,0.7464,38,0.4222,72.01,0.7201,72.64,0.7264,28.9,0.289
order_1521,92.25,0.9225,31,0.3444,91.17,0.9117,90.65,0.9065,24.51,0.2451
